character,dialog
ARCHBISHOP MANDORFF,Extra omnes.
LAWRENCE,"Cardinal brothers, we will now proceed to the first ballot.  You will find in front of you your ballot paper. On the top half is written.. Eligo in Summum Pontificem.“I elect as Supreme Pontiff”. Beneath this you must write the name of your chosen candidate. Please make sure your hand-writing is legible."
LAWRENCE,"I call as my witness Christ the Lord who will be my judge, that my vote is given to the one who before God I think should be elected."
CARDINAl LOMBARDI,The first vote is cast for Cardinal Tedesco.
CARDINAl LOMBARDI,The second vote is cast  for Cardinal Tedesco.
CARDINAl LOMBARDI,Cardinal Tremblay.
CARDINAl LOMBARDI,Cardinal Tremblay.
CARDINAl LOMBARDI,Cardinal Lawrence.
CARDINAl LOMBARDI,Cardinal Bellini.
CARDINAl LOMBARDI,"Cardinal Bellini, Cardinal Tremblay. Cardinal Tremblay."
CARDINAl LOMBARDI,And finally... CardinalBenitez.
CARDINAl LOMBARDI,"The results of the first ballot are... Cardinal Adeyemi, twenty-one votes. Cardinal Tedesco, eighteen votes. Cardinal Bellini, seventeen votes. Cardinal Tremblay, sixteen votes. Cardinal Lawrence, five votes..."
CARDINAl LOMBARDI,"Other cardinals assigned a single vote, thirty-one votes."
LAWRENCE,"My brother cardinals... my brother cardinals, that concludes the first ballot. No candidate having achieved the necessary majority of seventy-two votes, we shall adjourn for the evening and resume voting in the morning. I now invite the Junior Cardinal-Deacon to ask for us to be released."
GUERRINI,Aprite le porte! Aprite le porte!
MONSIGNOR O'MALLEY,"The media have noticed the presence of a cardinal who doesn’t appear on the official lists, Dean. The press off ice have been receiving requests for information, so I’ve taken the liberty of putting together a draft statement. I’ve also put together some biographical details for you. Ministries in Veracruz, the Congo, established a hospital for female victims of the genocidal sexual violence during the first and second wars. Then Baghdad. And finally the Mission in Ka bul. There was some question of his resigning on health grounds, but apparently the Holy Father convinced him to continue.He’s certainly served his ministry in some terrible places."
LAWRENCE,On health grounds? Look into that will you Ray? Kind of thing the press like to get hold of.
LAWRENCE,And the other matter...?
MONSIGNOR O'MALLEY,I spoke to Monsignor Morales. He was emphatic that he knows of no reason why Cardinal Tremblay should not be Pope.
LAWRENCE,Thank you.
MONSIGNOR O'MALLEY,"However, will you forgive me if I say that I did not entirely believe the good monsignor?"
MONSIGNOR O'MALLEY,He was just... so emphatic? My Spanish is quite poor and I may have... accidentally... given him the impression that you had seen a document that contr adicted that? And he said you weren’t to worry about that. His exact words were - “El informe ha sido retirado.”
LAWRENCE,A “report?” A report on what? Withdrawn when?
MONSIGNOR O'MALLEY,"That I couldn’t say, Eminence."
CARDINAL SABBADIN,"Third place. Not what we had hoped. Your sermon didn’t exactly help us. And your five votes... with the greatest respect Thomas, you have far too little support to emerge as a serious candidate. There hasn’t been an English Pope f or a thousand years."
LAWRENCE,My position is an embarrassment to me. If I find out who my supporters are I’ll plead with them to vote for someone else. And I’ll tell them I’ll be voting for Bellini.
CARDINAL SABBADIN,"Alright, that’s five votes coming to us, which takes us to twenty- two. All the candidates who received one vote today will fall away. Tha t leaves thirty-one votes available. We simply have to pick up most of them."
CARDINAL MENDOZA,An interesting man. I am very pleased to hear of his elevation.
LAWRENCE,You know him?
CARDINAL MENDOZA,"Of him. I was with the Mission in Iraq, after his time, and people still spoke of him there and the work he had done."
TEDESCO,So...our dark horse.
LAWRENCE,Don’t be absurd. I will do all in my power to withdraw my name from the second vote.
TEDESCO,Why?
LAWRENCE,Because I don’t wish to compromise my neutrality as Dean.
TEDESCO,Too late.
TEDESCO,"Ah, don’t worry about it. As far as I’m concerned, I want you to continue as a candidate. You’re splitting the liberal vote."
LAWRENCE,If anyone brings up my name please tell them of my intentions. All I want to do is serve the Conclave. I can’t do that if I’m seen as a contender myself.
TREMBLAY,Alright.
TREMBLAY,"Of course, a more Machiavellian mind might say it will make you look like a paragon of virtue."
LAWRENCE,"Well, I shall leave you to handle it as you see fit."
MONSIGNOR O'MALLEY,I could try and speak to Monsignor Morales again? See if I could find out any more?
LAWRENCE,"No, no... This is all so... unseemly."
LAWRENCE,"If this report ever existed, then I think we can rest assured that it has indeed been withdrawn. We have done all that could be expected of us."
LAWRENCE,"You go on, Ray."
LAWRENCE,The Holy Father’s turtles. He was very fond of them. A gift from Angola.
BENITEZ,"I thought for a moment I was imagining them... Where I come from, they are considered very special animals. They symbolise healing and transformation."
LAWRENCE,"Well, here they keep escaping and being run over. We should go back - the evening curfew."
LAWRENCE,How are you bearing up? Your health?
BENITEZ,"My health is excellent, thank you."
LAWRENCE,"Oh, I only meant have you recovered from your journey?"
BENITEZ,I have indeed.
LAWRENCE,Good. And I noticed in the Sistine that you found someone to vote for?
BENITEZ,Yes. I voted for you. (Off his stricken expression) Forgive me! Am I not supposed to say?
LAWRENCE,"No, it’s not... I’m honoured, but...My dear Vincent - may I call you Vincent? - I’m not a serious candidate. My vocation lies in a different..."
LAWRENCE,"After the conclave, I hope to resign as Dean and to leave Rome altogether. So, you see, I..."
BENITEZ,Why?
LAWRENCE,I have been experiencing some... difficulties...
BENITEZ,With your faith?
LAWRENCE,Prayer. I...
BENITEZ,"“I cry out to You, God but You do not answer.”"
LAWRENCE,I only mention it to illustrate my point that I am in no way worthy to be Pope.
BENITEZ,Any man who is truly worthy must consider himself unworthy. Isn’t that the point you were making in your homily? That without doubt there can be no faith? It resonated with my own exper ience. In my ministry I have witnessed scenes which would make any man skeptical of God’s mercy.
LAWRENCE,You received a vote yourself didn’t you?
BENITEZ,I did. It was absurd.
LAWRENCE,Then imagine how you would feel if I insisted on voting for you and by some miracle you won.
BENITEZ,It would be a disaster for the Church.
LAWRENCE,That is how it would be if I became Pope. Think a bout what I’m asking.
