character,dialog
OPPENHEIMER,I’m your brother and I want you to be cautious.
FRANK,And I want to wring your neck.
FRANK,"Robert, I won’t live my life afraid to make a mistake."
OPPENHEIMER,"You’re happy, I’m happy."
FRANK,Then I’m happy you’re happy.
LAWRENCE,It’s so clear I feel like I could see one of those dark stars you’re working on...
OPPENHEIMER,"You can’t, that’s the whole point."
OPPENHEIMER,Their gravity swallows light. It’s like a kind of... hole in space.
LAWRENCE,Is Frank okay?
OPPENHEIMER,Yeah. He just has a shitty brother.
LAWRENCE,It’s special here.
OPPENHEIMER,"As a kid I thought if I could find a way to combine physics and New Mexico, my life would be perfect."
LAWRENCE,It’s a little remote for that. Let’s get some sleep.
OPPENHEIMER,That mesa we saw today? One of my favorite places in the world. Tomorrow we’ll climb it.
LAWRENCE,What’s it called?
OPPENHEIMER,Los Alamos.
TATLOCK,I wasn’t expecting to see you.
OPPENHEIMER,I have to make an appointment?
OPPENHEIMER,Alvarez!
ALVAREZ,They’ve done it! Hahn and Strassman in Germany...
ALVAREZ,They split the uranium nucleus.
LAWRENCE,How?
OPPENHEIMER,Bombarded it with neutrons.
ALVAREZ,"Lawrence, it’s fission. Nuclear fission. They’ve split the atom..."
OPPENHEIMER,It’s not possible.
ALVAREZ,I’m going to try to reproduce it.
OPPENHEIMER,See. It can’t be done.
LAWRENCE,Very elegant. Quite clear. Just one problem...
OPPENHEIMER,Where?
LAWRENCE,Next door. Alvarez did it.
LAWRENCE,Theory will take you only so far.
OPPENHEIMER,During the process extra neutrons boil off. Which could be used to split other uranium atoms...
LAWRENCE,A chain reaction. You’re thinking what I’m thinking.
OPPENHEIMER,"You, me and every physicist around the world who’s seen the news."
ALVAREZ,What? What’re we all thinking?
OPPENHEIMER,"A bomb, Alvarez. A bomb."
TATLOCK,"I told you, Robert, no more fucking flowers."
OPPENHEIMER,I don’t understand what you want from me-
TATLOCK,I don’t want anything from you.
OPPENHEIMER,You say that. Then you call.
TATLOCK,Don’t answer.
OPPENHEIMER,I’ll always answer.
TATLOCK,Fine. But no more flowers.
OPPENHEIMER,Aren’t you coming?
CHEVALIER,"You have to know when you’re beaten, Robert."
OPPENHEIMER,"It’s not that simple, Haakon."
ELTENTON,"Chevalier, good to see you. And the illustrious Dr Oppenheimer. I’m Eltenton. Might you say a word about organized labour on campuses?"
OPPENHEIMER,I’ll try to think of something.
ELTENTON,"I work at Shell, we’ve signed up chemists and engineers..."
OPPENHEIMER,That’s excellent.
ELTENTON,So why not scientists in academia?
OPPENHEIMER,Sure. When do we-
OPPENHEIMER,"Teachers are unionized, Lawrence. Why not professors?"
LAWRENCE,Don’t you have somewhere to be?
OPPENHEIMER,"Academics have rights, too-"
LAWRENCE,It’s not that. I have a group coming.
OPPENHEIMER,I’ll sit in.
LAWRENCE,Not this one.
OPPENHEIMER,Richard. Dr Bush. What brings you two up north?
