oscar_year,award,genero,anger,disgust,fear,joy,neutral,sadness,surprise
2022,Original Screenplay,male,14.7,0.0,8.799999999999999,14.7,47.099999999999994,8.799999999999999,5.8999999999999995
2023,Adapted Screenplay,female,6.7,13.3,20.0,20.0,26.700000000000003,13.3,0.0
2023,Adapted Screenplay,male,33.300000000000004,11.1,11.1,0.0,33.300000000000004,0.0,11.1
2023,Best Picture,female,12.5,25.0,0.0,0.0,37.5,0.0,25.0
2023,Best Picture,male,35.699999999999996,7.1,7.1,7.1,14.299999999999999,14.299999999999999,14.299999999999999
2023,Original Screenplay,female,12.5,25.0,0.0,0.0,37.5,0.0,25.0
2023,Original Screenplay,male,35.699999999999996,7.1,7.1,7.1,14.299999999999999,14.299999999999999,14.299999999999999
2024,Adapted Screenplay,female,0.0,14.299999999999999,7.1,28.599999999999998,35.699999999999996,0.0,14.299999999999999
2024,Adapted Screenplay,male,17.2,20.7,3.4000000000000004,6.9,27.6,13.8,10.299999999999999
2024,Best Picture,female,0.0,0.0,9.1,27.3,27.3,9.1,27.3
2024,Best Picture,male,15.9,1.6,7.9,7.9,47.599999999999994,3.2,15.9
2025,Adapted Screenplay,female,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2025,Adapted Screenplay,male,16.7,12.5,8.3,0.0,41.699999999999996,12.5,8.3
2025,Best Picture,female,10.0,40.0,0.0,0.0,30.0,0.0,20.0
2025,Best Picture,male,36.8,15.8,5.3,0.0,21.099999999999998,5.3,15.8
2025,Original Screenplay,female,10.0,40.0,0.0,0.0,30.0,0.0,20.0
2025,Original Screenplay,male,36.8,15.8,5.3,0.0,21.099999999999998,5.3,15.8
