character,dialog
ANI,"Yeah, who would you marry?"
IVAN,I don’t know... Crystal? Your friend Lulu? She’s hot.
IVAN,You?
ANI,You?
IVAN,It is Vegas. Don’t people get married in Vegas?
ANI,Don’t fuck around.
IVAN,I’m not fucking around.
ANI,"Ok, well then go get married."
IVAN,Ok. Let’s get married.
ANI,You asshole.
IVAN,What?
ANI,Don’t tease me with that shit. That ain’t cool.
IVAN,Will you marry me?
ANI,Seriously?
IVAN,Seriously.
ANI,You want to marry... you want to get married?
IVAN,Because I like what we have going on here and I think you do too... I think you’d like it even if you weren’t paid to. And I become American! And my parents can go screw!
ANI,You’re serious.
IVAN,"Yes, I’m serious. I said I’m serious."
ANI,Three carats.
IVAN,I’d look terrible if you had anything under four.
SUNNY,Oh my god. You’re so lucky.
LULU,"You hit the jackpot, bitch."
JIMMY,"She hit the Lotto, PowerBall and Mega Millions, bitch."
ANI,I’ll come back and visit you guys. Get myself a private or two.
JIMMY,"So this is for real? Because if so, I got to stop letting high rollers in. They’re stealing my girls."
DAWN,Come here kid.
ANI,Love you Dawn.
DAWN,I’ll miss ya kid.
DIAMOND,Got your whale?
ANI,Seems I did. Didn’t I?
DIAMOND,"I give it two weeks, bitch."
LULU,Hey hey hey.
VERA,He married you for a green card.
ANI,Whatever. It’s not about a green card. He could easily buy citizenship.
VERA,But you’re getting him a green card.
ANI,It’s not about the green card. He likes living here in America... with me.
VERA,How well do you know him?
ANI,How well do I know him... did you hear what I said? Try to keep up. His dad is loaded... Nikolai Zakharov. Fucking Google him. He’s worth 22... billion. BILLLLLIIOOOONNNN.
ANI,Don’t worry. I’ll keep paying the rent. Understand? Ok? Ok. Bye.
VLAD,Did she say billion?
TOROS,This can’t be true. Impossible.
TOROS,"No, let me assure you, this is impossible. These are just rumors. I was with him on New Year’s Eve, he isn’t married."
TOROS,"No, no, no disrespect. Of course. Ok. But it can’t be true. No, I’m at... I’m not there right now but I’m headed there. I will let you know ASAP. You’ll hear from me in 30 minutes max. Yes, understood. Ok. Bye."
TOROS,FUCK!
TOROS,"Garnik, I need you now. Come."
GARNIK,Now?
TOROS,Right now. It’s an emergency.
GARNIK,Ivan?
TOROS,Get over here.
TOROS,Here.
TOROS,I need you to grab the Russian and get over to the house NOW!
ANI,Come on. Just answer or shut it off.
IVAN,There. Off.
ANI,Ivan.
IVAN,Yeah?
ANI,What did they say when you told them?
IVAN,I don’t want to talk about them.
ANI,"You did tell them, right?"
IVAN,Yeah sure.
ANI,I mean... This is good news. Right? Parents usually want their kids to get married.
IVAN,"Yeah, but my parents are dicks. And whatever."
ANI,"Well, no matter what. I hope they like me... You know... Like, when we meet."
IVAN,When will I meet your family?
ANI,"Well, if you want to go to Miami... my mom lives there with her man. and you can meet my sister anytime although I’m sure she’ll try to steal you... she’s loves Russian guys."
ANI,"Hey. I’m tryin’ here. Asshole. Ok, English from now on for me."
IVAN,Your Russian is wonderful! It’s great.
ANI,You liar.
GARNIK,Komsomolskaya Pravda ran a photo of him and some girl at a basketball game. And they are saying she’s a prostitute.
GARNIK,"It’s not funny, man. Don’t laugh. If it’s true, Toros and I are fucked. Well, I’m not as fucked as Toros but still."
IGOR,Sounds like tabloid bullshit.
GARNIK,"Probably. But look... if things get crazy, don’t get rough with Ivan. Actually, don’t even touch Ivan. Let me deal with him."
IGOR,What do you need me for then?
GARNIK,In case his boys are here... and they want to play games.
GARNIK,Hey. Is Ivan home?
DAY GUARD,He hasn’t left while I’ve been here but my shift just started.
GARNIK,Do you know if he got married?
DAY GUARD,I just started my shift. I don’t know...
GARNIK,Open the gate.
ANI,Expecting guests?
ANI,What?
IVAN,What? What do you want?
GARNIK,"Ivan, we have to talk."
IVAN,Go away guys. I’m busy.
GARNIK,"Please Ivan, we have to talk."
IVAN,No. I have a guest.
GARNIK,"Ivan, please."
IVAN,Not today. Goodbye! Go away.
ANI,Who’s that?
IVAN,"Nobody, baby."
GARNIK,Son of a bitch.
IVAN,Hey! You can’t just enter my home.
GARNIK,"Ivan, please open the door."
IVAN,"Fuck you, Garnik. I don’t have to listen to you."
GARNIK,That hurts my foot. Please stop that.
IVAN,Fuck you.
GARNIK,"Ivan, your father sent us."
IVAN,My father sent you?
GARNIK,"Well, not me. Your father sent Toros and Toros sent us."
IVAN,Where’s Toros?
GARNIK,He’s busy and he’s very upset with you... if this is true.
